School Name,City,State,District Name,2010/11/Award Amount,Model Selected
SAN GORGONIO HIGH,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,2.00,Transformation
FONTANA A. B. MILLER HIGH,FONTANA,CA,FONTANA UNIFIED,1795.00,Transformation
ELMHURST COMMUNITY PREP,OAKLAND,CA,OAKLAND UNIFIED,121793.00,Transformation
PAUL REVERE ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,181577.00,Transformation
SAMUEL GOMPERS MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,189201.00,Restart
DAVIDSON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,148577.00,Transformation
PALM AVENUE ELEMENTARY,WASCO,CA,WASCO UNION ELEMENTARY,148665.00,Transformation
SHORE ACRES ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,12252.00,Transformation
CESAR CHAVEZ ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,175737.00,Transformation
BUTTONWILLOW ELEMENTARY,BUTTONWILLOW,CA,BUTTONWILLOW UNION ELEMENTARY,559268.00,Transformation
EDISON-RONALD MCNAIR INTERMEDIATE,EAST PALO ALTO,CA,RAVENSWOOD CITY ELEMENTARY,135806.00,Turnaround
CENTURY HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,197223.00,Transformation
LAKESIDE ELEMENTARY,HANFORD,CA,LAKESIDE UNION ELEMENTARY,913211.00,Transformation
KING/CHAVEZ ARTS ACADEMY,SAN DIEGO,CA,SAN DIEGO UNIFIED,102906.00,Transformation
PHARIS F. FEDDE MIDDLE,HAWAIIAN GARDENS,CA,ABC UNIFIED,1177.00,Transformation
SEASIDE HIGH,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,159471.00,Turnaround
ELLA ELEMENTARY,OLIVEHURST,CA,MARYSVILLE JOINT UNIFIED,180738.00,Turnaround
WILSON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,925749.00,Turnaround
YOSEMITE MIDDLE,FRESNO,CA,FRESNO UNIFIED,173752.00,Turnaround
T. S. MACQUIDDY ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,577030.00,Transformation
ENCINA PREPARATORY HIGH,SACRAMENTO,CA,SAN JUAN UNIFIED,102743.00,Turnaround
EDWIN MARKHAM MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,185886.00,Restart
RIO VISTA ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,142575.00,Transformation
FELICITA ELEMENTARY,ESCONDIDO,CA,ESCONDIDO UNION,171031.00,Turnaround
UNITED FOR SUCCESS ACADEMY,OAKLAND,CA,OAKLAND UNIFIED,128129.00,Transformation
MISSION HIGH,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,201467.00,Transformation
GARDENA SENIOR HIGH,GARDENA,CA,LOS ANGELES UNIFIED,167368.00,Transformation
BARTON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,2.00,Turnaround
ROSE FERRERO ELEMENTARY,SOLEDAD,CA,SOLEDAD UNIFIED,157616.00,Turnaround
GEORGE WASHINGTON CARVER ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,158151.00,Turnaround
EASTSIDE HIGH,LANCASTER,CA,ANTELOPE VALLEY UNION HIGH,1695.00,Transformation
GLENBROOK MIDDLE,CONCORD,CA,MT. DIABLO UNIFIED,584002.00,Transformation
COSTANO ELEMENTARY,EAST PALO ALTO,CA,RAVENSWOOD CITY ELEMENTARY,135806.00,Turnaround
WILLARD INTERMEDIATE,SANTA ANA,CA,SANTA ANA UNIFIED,181152.00,Transformation
PESCADERO ELEMENTARY AND MIDDLE,PESCADERO,CA,LA HONDA-PESCADERO UNIFIED,629711.00,Transformation
BURBANK ELEMENTARY,SAN DIEGO,CA,SAN DIEGO UNIFIED,116423.00,Transformation
HIGHLANDS ACADEMY OF ARTS AND DESIGN,NORTH HIGHLANDS,CA,TWIN RIVERS UNIFIED,184555.00,Transformation
MARTIN LUTHER KING,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,126595.00,Turnaround
BURBANK ELEMENTARY,HAYWARD,CA,HAYWARD UNIFIED,158712.00,Transformation
EMERSON MIDDLE,POMONA,CA,POMONA UNIFIED,152096.00,Transformation
SANTA ANA HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,197223.00,Transformation
MAYWOOD ACADEMY HIGH,MAYWOOD,CA,LOS ANGELES UNIFIED,187692.00,Transformation
SHANDIN HILLS MIDDLE,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,2.00,Turnaround
WEBSTER ELEMENTARY,FRESNO,CA,FRESNO UNIFIED,17325.00,Turnaround
HALL DISTRICT ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,630428.00,Transformation
EVERETT MIDDLE,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,140557.00,Turnaround
THOMAS JEFFERSON SENIOR HIGH,LOS ANGELES,CA,LOS ANGELES UNIFIED,180068.00,Transformation
MARSHALL ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,194293.00,Turnaround
SAN JUAN,SAN JUAN BAUTISTA,CA,AROMAS/SAN JUAN UNIFIED,173426.00,Transformation
WEST SHORES HIGH,SALTON CITY,CA,COACHELLA VALLEY UNIFIED,126036.00,Turnaround
EXPLORE MIDDLE,OAKLAND,CA,OAKLAND UNIFIED,49045.00,Closure
JOHN MUIR ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,148146.00,Turnaround
LINCOLN ELEMENTARY,RICHMOND,CA,WEST CONTRA COSTA UNIFIED,122138.00,Turnaround
SEMITROPIC ELEMENTARY,WASCO,CA,SEMITROPIC ELEMENTARY,133333.00,Transformation
GEORGE WASHINGTON CARVER MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,174824.00,Restart
BRYANT ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,155171.00,Turnaround
LITTLEROCK HIGH,LITTLEROCK,CA,ANTELOPE VALLEY UNION HIGH,17292.00,Transformation
BEL AIR ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,144166.00,Transformation
POMONA SENIOR HIGH,POMONA,CA,POMONA UNIFIED,189832.00,Transformation
VALLEY HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,197223.00,Transformation
TENNYSON HIGH,HAYWARD,CA,HAYWARD UNIFIED,179529.00,Transformation
HIGHLAND ELEMENTARY,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,126595.00,Turnaround
ARROYO VALLEY HIGH,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,19.00,Transformation
VISTA VERDE MIDDLE,GREENFIELD,CA,GREENFIELD UNION ELEMENTARY,806917.00,Transformation
CACTUS MIDDLE,PALMDALE,CA,PALMDALE ELEMENTARY,184271.00,Turnaround
SADDLEBACK HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,197223.00,Transformation
ROBERT LOUIS STEVENSON MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,189229.00,Restart
SERRANO MIDDLE,HIGHLAND,CA,SAN BERNARDINO CITY UNIFIED,179747.00,Turnaround
CARVER ACADEMY,FRESNO,CA,FRESNO UNIFIED,105245.00,Turnaround
CALABASAS ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,631759.00,Transformation
JOHN O'CONNELL ALTERNATIVE HIGH,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,163043.00,Transformation
HILLCREST DRIVE ELEMENTARY,LOS ANGELES,CA,LOS ANGELES UNIFIED,189181.00,Transformation
HUNT ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,140097.00,Turnaround
RIVERSIDE COUNTY COMMUNITY,RIVERSIDE,CA,RIVERSIDE COUNTY OFFICE OF EDUCATION,141497.00,Transformation
CHUALAR ELEMENTARY,CHUALAR,CA,CHUALAR UNION ELEMENTARY,233414.00,Transformation
RIO VISTA ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,443230.00,Transformation
HORACE MANN MIDDLE,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,125599.00,Transformation
STANFORD NEW SCHOOL,MENLO PARK,CA,RAVENSWOOD CITY ELEMENTARY,105585.00,Transformation
CESAR ESTRADA CHAVEZ DUAL LANGUAGE IMMERSION CHART,SANTA BARBARA,CA,SANTA BARBARA ELEMENTARY,388816.00,Transformation
JEFFERSON ELEMENTARY,LINDSAY,CA,LINDSAY UNIFIED,108247.00,Turnaround
BROWN JR. (WILLIE L.) ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,50000.00,Closure
NORTE VISTA HIGH,RIVERSIDE,CA,ALVORD UNIFIED,187562.00,Turnaround
MARCH MOUNTAIN HIGH,MORENO VALLEY,CA,MORENO VALLEY UNIFIED,481154.00,Transformation
NORTH HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,924081.00,Transformation
MONTBELLO HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,100778.00,Transformation
LAKE MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,619609.00,Restart
HANSON ELEMENTARY SCHOOL,COMMERCE CITY,CO,SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,641451.00,Transformation
CLIFTON ELEMENTARY SCHOOL,CLIFTON,CO,MESA COUNTY VALLEY SCHOOL DISTRICT NO. 51,821295.00,Transformation
RISHEL MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,13729.00,Closure
GREENLEE K-8 SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,671148.00,Turnaround
FORT LOGAN ELEMENTARY SCHOOL,ENGLEWOOD,CO,SHERIDAN SCHOOL DISTRICT NO. 2,728445.00,Turnaround
SKYLAND COMMUNITY HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,31935.00,Closure
PHILIPS ELEMENTARY SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,32491.00,Closure
GILPIN K-8 SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,374767.00,Turnaround
NOEL MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,825829.00,Transformation
BURNS SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,430568.00,Turnaround
BARNUM SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,500000.00,Transformation
KATHERINE BRENNAN SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,590000.00,Turnaround
